2025-07-28 23:10:43,418 |    INFO | __main__ | 🔖  Logging to logs/whisper_tiny_cv_fully_synthetic_nl_20250728_231043.log
2025-07-28 23:10:43,627 |    INFO | root | Using device: cuda
2025-07-28 23:10:43,627 |    INFO | root | Using model: yuriyvnv/whisper-tiny-cv-fully-synthetic-nl
2025-07-28 23:10:43,627 |    INFO | root | Loading model... 🎯
2025-07-28 23:10:46,160 |    INFO | root | Using device: cuda 💻
2025-07-28 23:10:46,160 |    INFO | root | Loading Common Voice 17.0 dataset... 📊
2025-07-28 23:10:46,458 |   ERROR | root | README.md:   0%|          | 0.00/12.7k [00:00<?, ?B/s]
2025-07-28 23:10:54,824 |   ERROR | root | nl_train_0.tar:  37%|###6      | 388M/1.05G [00:04<00:06, 95.8MB/s]
2025-07-28 23:10:54,937 |   ERROR | root | nl_train_0.tar:  38%|###7      | 398M/1.05G [00:04<00:06, 94.9MB/s]
2025-07-28 23:10:55,048 |   ERROR | root | nl_train_0.tar:  39%|###8      | 409M/1.05G [00:04<00:06, 94.7MB/s]
2025-07-28 23:10:55,158 |   ERROR | root | nl_train_0.tar:  40%|###9      | 419M/1.05G [00:04<00:06, 95.1MB/s]
2025-07-28 23:10:55,265 |   ERROR | root | nl_train_0.tar:  41%|####      | 430M/1.05G [00:04<00:06, 95.7MB/s]
2025-07-28 23:10:55,375 |   ERROR | root | nl_train_0.tar:  42%|####1     | 440M/1.05G [00:04<00:06, 95.7MB/s]
2025-07-28 23:10:55,482 |   ERROR | root | nl_train_0.tar:  43%|####2     | 451M/1.05G [00:05<00:06, 96.4MB/s]
2025-07-28 23:10:55,591 |   ERROR | root | nl_train_0.tar:  44%|####3     | 461M/1.05G [00:05<00:06, 96.3MB/s]
2025-07-28 23:10:55,698 |   ERROR | root | nl_train_0.tar:  45%|####4     | 472M/1.05G [00:05<00:05, 96.7MB/s]
2025-07-28 23:10:55,807 |   ERROR | root | nl_train_0.tar:  46%|####5     | 482M/1.05G [00:05<00:05, 96.6MB/s]
2025-07-28 23:10:55,927 |   ERROR | root | nl_train_0.tar:  47%|####6     | 493M/1.05G [00:05<00:05, 93.8MB/s]
2025-07-28 23:10:56,042 |   ERROR | root | nl_train_0.tar:  48%|####7     | 503M/1.05G [00:05<00:05, 92.9MB/s]
2025-07-28 23:10:56,149 |   ERROR | root | nl_train_0.tar:  49%|####8     | 514M/1.05G [00:05<00:05, 94.4MB/s]
2025-07-28 23:10:56,258 |   ERROR | root | nl_train_0.tar:  50%|####9     | 524M/1.05G [00:05<00:05, 94.8MB/s]
2025-07-28 23:10:56,366 |   ERROR | root | nl_train_0.tar:  51%|#####     | 535M/1.05G [00:05<00:05, 95.6MB/s]
2025-07-28 23:10:56,475 |   ERROR | root | nl_train_0.tar:  52%|#####1    | 545M/1.05G [00:06<00:05, 95.7MB/s]
2025-07-28 23:10:56,582 |   ERROR | root | nl_train_0.tar:  53%|#####2    | 556M/1.05G [00:06<00:05, 96.3MB/s]
2025-07-28 23:10:56,691 |   ERROR | root | nl_train_0.tar:  54%|#####3    | 566M/1.05G [00:06<00:05, 96.3MB/s]
2025-07-28 23:10:56,799 |   ERROR | root | nl_train_0.tar:  55%|#####4    | 577M/1.05G [00:06<00:04, 96.6MB/s]
2025-07-28 23:10:56,908 |   ERROR | root | nl_train_0.tar:  56%|#####5    | 587M/1.05G [00:06<00:04, 96.5MB/s]
2025-07-28 23:10:57,016 |   ERROR | root | nl_train_0.tar:  57%|#####6    | 598M/1.05G [00:06<00:04, 96.6MB/s]
2025-07-28 23:10:57,124 |   ERROR | root | nl_train_0.tar:  58%|#####7    | 608M/1.05G [00:06<00:04, 96.7MB/s]
2025-07-28 23:10:57,236 |   ERROR | root | nl_train_0.tar:  59%|#####8    | 619M/1.05G [00:06<00:04, 95.8MB/s]
2025-07-28 23:10:57,343 |   ERROR | root | nl_train_0.tar:  60%|#####9    | 629M/1.05G [00:06<00:04, 96.4MB/s]
2025-07-28 23:10:57,453 |   ERROR | root | nl_train_0.tar:  61%|######    | 640M/1.05G [00:07<00:04, 96.2MB/s]
2025-07-28 23:10:57,560 |   ERROR | root | nl_train_0.tar:  62%|######1   | 650M/1.05G [00:07<00:04, 96.7MB/s]
2025-07-28 23:10:57,669 |   ERROR | root | nl_train_0.tar:  63%|######2   | 661M/1.05G [00:07<00:04, 96.5MB/s]
2025-07-28 23:10:57,777 |   ERROR | root | nl_train_0.tar:  64%|######3   | 671M/1.05G [00:07<00:03, 96.7MB/s]
2025-07-28 23:10:57,886 |   ERROR | root | nl_train_0.tar:  65%|######4   | 682M/1.05G [00:07<00:03, 96.6MB/s]
2025-07-28 23:10:57,994 |   ERROR | root | nl_train_0.tar:  66%|######5   | 692M/1.05G [00:07<00:03, 96.8MB/s]
2025-07-28 23:10:58,104 |   ERROR | root | nl_train_0.tar:  67%|######6   | 703M/1.05G [00:07<00:03, 96.4MB/s]
2025-07-28 23:10:58,215 |   ERROR | root | nl_train_0.tar:  68%|######7   | 713M/1.05G [00:07<00:03, 95.8MB/s]
2025-07-28 23:10:58,333 |   ERROR | root | nl_train_0.tar:  69%|######8   | 724M/1.05G [00:07<00:03, 93.5MB/s]
2025-07-28 23:10:58,444 |   ERROR | root | nl_train_0.tar:  70%|######9   | 734M/1.05G [00:08<00:03, 93.8MB/s]
2025-07-28 23:10:58,559 |   ERROR | root | nl_train_0.tar:  71%|#######   | 744M/1.05G [00:08<00:03, 93.1MB/s]
2025-07-28 23:10:58,669 |   ERROR | root | nl_train_0.tar:  72%|#######1  | 755M/1.05G [00:08<00:03, 93.6MB/s]
2025-07-28 23:10:58,787 |   ERROR | root | nl_train_0.tar:  73%|#######2  | 765M/1.05G [00:08<00:03, 92.2MB/s]
2025-07-28 23:10:58,903 |   ERROR | root | nl_train_0.tar:  74%|#######3  | 776M/1.05G [00:08<00:02, 91.8MB/s]
2025-07-28 23:10:59,011 |   ERROR | root | nl_train_0.tar:  75%|#######4  | 786M/1.05G [00:08<00:02, 93.1MB/s]
2025-07-28 23:10:59,120 |   ERROR | root | nl_train_0.tar:  76%|#######5  | 797M/1.05G [00:08<00:02, 94.2MB/s]
2025-07-28 23:10:59,228 |   ERROR | root | nl_train_0.tar:  77%|#######6  | 807M/1.05G [00:08<00:02, 95.0MB/s]
2025-07-28 23:10:59,336 |   ERROR | root | nl_train_0.tar:  78%|#######7  | 818M/1.05G [00:08<00:02, 95.5MB/s]
2025-07-28 23:10:59,445 |   ERROR | root | nl_train_0.tar:  79%|#######8  | 828M/1.05G [00:09<00:02, 95.9MB/s]
2025-07-28 23:10:59,553 |   ERROR | root | nl_train_0.tar:  80%|#######9  | 839M/1.05G [00:09<00:02, 96.1MB/s]
2025-07-28 23:10:59,661 |   ERROR | root | nl_train_0.tar:  81%|########  | 849M/1.05G [00:09<00:02, 96.5MB/s]
2025-07-28 23:10:59,770 |   ERROR | root | nl_train_0.tar:  82%|########1 | 860M/1.05G [00:09<00:01, 96.4MB/s]
2025-07-28 23:10:59,878 |   ERROR | root | nl_train_0.tar:  83%|########2 | 870M/1.05G [00:09<00:01, 96.6MB/s]
2025-07-28 23:10:59,987 |   ERROR | root | nl_train_0.tar:  84%|########3 | 881M/1.05G [00:09<00:01, 96.5MB/s]
2025-07-28 23:11:00,095 |   ERROR | root | nl_train_0.tar:  85%|########4 | 891M/1.05G [00:09<00:01, 96.5MB/s]
2025-07-28 23:11:00,204 |   ERROR | root | nl_train_0.tar:  86%|########5 | 902M/1.05G [00:09<00:01, 96.5MB/s]
2025-07-28 23:11:00,314 |   ERROR | root | nl_train_0.tar:  87%|########6 | 912M/1.05G [00:09<00:01, 96.0MB/s]
2025-07-28 23:11:00,424 |   ERROR | root | nl_train_0.tar:  88%|########7 | 923M/1.05G [00:09<00:01, 96.1MB/s]
2025-07-28 23:11:00,531 |   ERROR | root | nl_train_0.tar:  89%|########8 | 933M/1.05G [00:10<00:01, 96.5MB/s]
2025-07-28 23:11:00,641 |   ERROR | root | nl_train_0.tar:  90%|########9 | 944M/1.05G [00:10<00:01, 96.3MB/s]
2025-07-28 23:11:00,748 |   ERROR | root | nl_train_0.tar:  91%|######### | 954M/1.05G [00:10<00:00, 96.7MB/s]
2025-07-28 23:11:00,857 |   ERROR | root | nl_train_0.tar:  92%|#########1| 965M/1.05G [00:10<00:00, 96.4MB/s]
2025-07-28 23:11:00,965 |   ERROR | root | nl_train_0.tar:  93%|#########2| 975M/1.05G [00:10<00:00, 96.8MB/s]
2025-07-28 23:11:01,074 |   ERROR | root | nl_train_0.tar:  94%|#########3| 986M/1.05G [00:10<00:00, 96.5MB/s]
2025-07-28 23:11:01,208 |   ERROR | root | nl_train_0.tar:  95%|#########4| 996M/1.05G [00:10<00:00, 90.2MB/s]
2025-07-28 23:11:01,315 |   ERROR | root | nl_train_0.tar:  96%|#########5| 1.01G/1.05G [00:10<00:00, 92.4MB/s]
2025-07-28 23:11:01,431 |   ERROR | root | nl_train_0.tar:  97%|#########6| 1.02G/1.05G [00:11<00:00, 91.7MB/s]
2025-07-28 23:11:01,538 |   ERROR | root | nl_train_0.tar:  98%|#########7| 1.03G/1.05G [00:11<00:00, 93.5MB/s]
2025-07-28 23:11:01,648 |   ERROR | root | nl_train_0.tar:  99%|#########8| 1.04G/1.05G [00:11<00:00, 94.2MB/s]
2025-07-28 23:11:01,758 |   ERROR | root | nl_train_0.tar: 100%|#########9| 1.05G/1.05G [00:11<00:00, 94.4MB/s]
2025-07-28 23:11:01,783 |   ERROR | root | nl_train_0.tar: 100%|##########| 1.05G/1.05G [00:11<00:00, 92.5MB/s]
2025-07-28 23:11:02,022 |   ERROR | root | nl_dev_0.tar:   0%|          | 0.00/367M [00:00<?, ?B/s]
2025-07-28 23:11:02,143 |   ERROR | root | nl_dev_0.tar:   3%|2         | 10.5M/367M [00:00<00:04, 87.1MB/s]
2025-07-28 23:11:02,264 |   ERROR | root | nl_dev_0.tar:   6%|5         | 21.0M/367M [00:00<00:03, 86.5MB/s]
2025-07-28 23:11:02,372 |   ERROR | root | nl_dev_0.tar:   9%|8         | 31.5M/367M [00:00<00:03, 91.2MB/s]
2025-07-28 23:11:02,481 |   ERROR | root | nl_dev_0.tar:  11%|#1        | 41.9M/367M [00:00<00:03, 93.0MB/s]
2025-07-28 23:11:02,589 |   ERROR | root | nl_dev_0.tar:  14%|#4        | 52.4M/367M [00:00<00:03, 94.5MB/s]
2025-07-28 23:11:02,698 |   ERROR | root | nl_dev_0.tar:  17%|#7        | 62.9M/367M [00:00<00:03, 95.0MB/s]
2025-07-28 23:11:02,806 |   ERROR | root | nl_dev_0.tar:  20%|##        | 73.4M/367M [00:00<00:03, 95.8MB/s]
2025-07-28 23:11:02,915 |   ERROR | root | nl_dev_0.tar:  23%|##2       | 83.9M/367M [00:00<00:02, 95.8MB/s]
2025-07-28 23:11:03,023 |   ERROR | root | nl_dev_0.tar:  26%|##5       | 94.4M/367M [00:01<00:02, 96.4MB/s]
2025-07-28 23:11:03,132 |   ERROR | root | nl_dev_0.tar:  29%|##8       | 105M/367M [00:01<00:02, 96.2MB/s]
2025-07-28 23:11:03,240 |   ERROR | root | nl_dev_0.tar:  31%|###1      | 115M/367M [00:01<00:02, 96.5MB/s]
2025-07-28 23:11:03,349 |   ERROR | root | nl_dev_0.tar:  34%|###4      | 126M/367M [00:01<00:02, 96.5MB/s]
2025-07-28 23:11:03,457 |   ERROR | root | nl_dev_0.tar:  37%|###7      | 136M/367M [00:01<00:02, 96.7MB/s]
2025-07-28 23:11:03,569 |   ERROR | root | nl_dev_0.tar:  40%|####      | 147M/367M [00:01<00:02, 95.8MB/s]
2025-07-28 23:11:03,686 |   ERROR | root | nl_dev_0.tar:  43%|####2     | 157M/367M [00:01<00:02, 93.7MB/s]
2025-07-28 23:11:03,796 |   ERROR | root | nl_dev_0.tar:  46%|####5     | 168M/367M [00:01<00:02, 94.2MB/s]
2025-07-28 23:11:03,914 |   ERROR | root | nl_dev_0.tar:  49%|####8     | 178M/367M [00:01<00:02, 92.5MB/s]
2025-07-28 23:11:04,025 |   ERROR | root | nl_dev_0.tar:  51%|#####1    | 189M/367M [00:02<00:01, 93.1MB/s]
2025-07-28 23:11:04,135 |   ERROR | root | nl_dev_0.tar:  54%|#####4    | 199M/367M [00:02<00:01, 93.8MB/s]
2025-07-28 23:11:04,244 |   ERROR | root | nl_dev_0.tar:  57%|#####7    | 210M/367M [00:02<00:01, 94.6MB/s]
2025-07-28 23:11:04,355 |   ERROR | root | nl_dev_0.tar:  60%|######    | 220M/367M [00:02<00:01, 94.6MB/s]
2025-07-28 23:11:04,472 |   ERROR | root | nl_dev_0.tar:  63%|######2   | 231M/367M [00:02<00:01, 93.0MB/s]
2025-07-28 23:11:04,582 |   ERROR | root | nl_dev_0.tar:  66%|######5   | 241M/367M [00:02<00:01, 93.6MB/s]
2025-07-28 23:11:04,694 |   ERROR | root | nl_dev_0.tar:  69%|######8   | 252M/367M [00:02<00:01, 93.5MB/s]
2025-07-28 23:11:04,801 |   ERROR | root | nl_dev_0.tar:  72%|#######1  | 262M/367M [00:02<00:01, 94.9MB/s]
2025-07-28 23:11:04,910 |   ERROR | root | nl_dev_0.tar:  74%|#######4  | 273M/367M [00:02<00:00, 95.2MB/s]
2025-07-28 23:11:05,015 |   ERROR | root | nl_dev_0.tar:  77%|#######7  | 283M/367M [00:02<00:00, 96.6MB/s]
2025-07-28 23:11:05,124 |   ERROR | root | nl_dev_0.tar:  80%|########  | 294M/367M [00:03<00:00, 96.4MB/s]
2025-07-28 23:11:05,229 |   ERROR | root | nl_dev_0.tar:  83%|########2 | 304M/367M [00:03<00:00, 97.4MB/s]
2025-07-28 23:11:05,338 |   ERROR | root | nl_dev_0.tar:  86%|########5 | 315M/367M [00:03<00:00, 97.0MB/s]
2025-07-28 23:11:05,443 |   ERROR | root | nl_dev_0.tar:  89%|########8 | 325M/367M [00:03<00:00, 97.8MB/s]
2025-07-28 23:11:05,555 |   ERROR | root | nl_dev_0.tar:  92%|#########1| 336M/367M [00:03<00:00, 96.7MB/s]
2025-07-28 23:11:05,666 |   ERROR | root | nl_dev_0.tar:  94%|#########4| 346M/367M [00:03<00:00, 95.9MB/s]
2025-07-28 23:11:05,782 |   ERROR | root | nl_dev_0.tar:  97%|#########7| 357M/367M [00:03<00:00, 94.3MB/s]
2025-07-28 23:11:05,892 |   ERROR | root | nl_dev_0.tar: 100%|##########| 367M/367M [00:03<00:00, 93.4MB/s]
2025-07-28 23:11:05,897 |   ERROR | root | nl_dev_0.tar: 100%|##########| 367M/367M [00:03<00:00, 94.6MB/s]
2025-07-28 23:11:06,121 |   ERROR | root | nl_test_0.tar:   0%|          | 0.00/384M [00:00<?, ?B/s]
2025-07-28 23:11:06,242 |   ERROR | root | nl_test_0.tar:   3%|2         | 10.5M/384M [00:00<00:04, 87.5MB/s]
2025-07-28 23:11:06,356 |   ERROR | root | nl_test_0.tar:   5%|5         | 21.0M/384M [00:00<00:04, 89.9MB/s]
2025-07-28 23:11:06,472 |   ERROR | root | nl_test_0.tar:   8%|8         | 31.5M/384M [00:00<00:03, 90.4MB/s]
2025-07-28 23:11:06,580 |   ERROR | root | nl_test_0.tar:  11%|#         | 41.9M/384M [00:00<00:03, 92.8MB/s]
2025-07-28 23:11:06,690 |   ERROR | root | nl_test_0.tar:  14%|#3        | 52.4M/384M [00:00<00:03, 93.7MB/s]
2025-07-28 23:11:06,806 |   ERROR | root | nl_test_0.tar:  16%|#6        | 62.9M/384M [00:00<00:03, 92.6MB/s]
2025-07-28 23:11:06,919 |   ERROR | root | nl_test_0.tar:  19%|#9        | 73.4M/384M [00:00<00:03, 92.7MB/s]
2025-07-28 23:11:07,032 |   ERROR | root | nl_test_0.tar:  22%|##1       | 83.9M/384M [00:00<00:03, 92.5MB/s]
2025-07-28 23:11:07,140 |   ERROR | root | nl_test_0.tar:  25%|##4       | 94.4M/384M [00:01<00:03, 94.1MB/s]
2025-07-28 23:11:07,249 |   ERROR | root | nl_test_0.tar:  27%|##7       | 105M/384M [00:01<00:02, 94.7MB/s]
2025-07-28 23:11:07,357 |   ERROR | root | nl_test_0.tar:  30%|###       | 115M/384M [00:01<00:02, 95.4MB/s]
2025-07-28 23:11:07,466 |   ERROR | root | nl_test_0.tar:  33%|###2      | 126M/384M [00:01<00:02, 95.6MB/s]
2025-07-28 23:11:07,584 |   ERROR | root | nl_test_0.tar:  36%|###5      | 136M/384M [00:01<00:02, 93.4MB/s]
2025-07-28 23:11:07,722 |   ERROR | root | nl_test_0.tar:  38%|###8      | 147M/384M [00:01<00:02, 87.3MB/s]
2025-07-28 23:11:07,828 |   ERROR | root | nl_test_0.tar:  41%|####      | 157M/384M [00:01<00:02, 90.6MB/s]
2025-07-28 23:11:07,938 |   ERROR | root | nl_test_0.tar:  44%|####3     | 168M/384M [00:01<00:02, 91.9MB/s]
2025-07-28 23:11:08,050 |   ERROR | root | nl_test_0.tar:  46%|####6     | 178M/384M [00:01<00:02, 92.5MB/s]
2025-07-28 23:11:08,166 |   ERROR | root | nl_test_0.tar:  49%|####9     | 189M/384M [00:02<00:02, 91.8MB/s]
2025-07-28 23:11:08,274 |   ERROR | root | nl_test_0.tar:  52%|#####1    | 199M/384M [00:02<00:01, 93.4MB/s]
2025-07-28 23:11:08,383 |   ERROR | root | nl_test_0.tar:  55%|#####4    | 210M/384M [00:02<00:01, 94.1MB/s]
2025-07-28 23:11:08,491 |   ERROR | root | nl_test_0.tar:  57%|#####7    | 220M/384M [00:02<00:01, 95.1MB/s]
2025-07-28 23:11:08,600 |   ERROR | root | nl_test_0.tar:  60%|######    | 231M/384M [00:02<00:01, 95.4MB/s]
2025-07-28 23:11:08,707 |   ERROR | root | nl_test_0.tar:  63%|######2   | 241M/384M [00:02<00:01, 96.0MB/s]
2025-07-28 23:11:08,817 |   ERROR | root | nl_test_0.tar:  66%|######5   | 252M/384M [00:02<00:01, 95.9MB/s]
2025-07-28 23:11:08,924 |   ERROR | root | nl_test_0.tar:  68%|######8   | 262M/384M [00:02<00:01, 96.5MB/s]
2025-07-28 23:11:09,034 |   ERROR | root | nl_test_0.tar:  71%|#######1  | 273M/384M [00:02<00:01, 96.3MB/s]
2025-07-28 23:11:09,141 |   ERROR | root | nl_test_0.tar:  74%|#######3  | 283M/384M [00:03<00:01, 96.6MB/s]
2025-07-28 23:11:09,251 |   ERROR | root | nl_test_0.tar:  76%|#######6  | 294M/384M [00:03<00:00, 96.3MB/s]
2025-07-28 23:11:09,369 |   ERROR | root | nl_test_0.tar:  79%|#######9  | 304M/384M [00:03<00:00, 94.1MB/s]
2025-07-28 23:11:09,486 |   ERROR | root | nl_test_0.tar:  82%|########1 | 315M/384M [00:03<00:00, 92.5MB/s]
2025-07-28 23:11:09,595 |   ERROR | root | nl_test_0.tar:  85%|########4 | 325M/384M [00:03<00:00, 93.7MB/s]
2025-07-28 23:11:09,705 |   ERROR | root | nl_test_0.tar:  87%|########7 | 336M/384M [00:03<00:00, 94.2MB/s]
2025-07-28 23:11:09,812 |   ERROR | root | nl_test_0.tar:  90%|######### | 346M/384M [00:03<00:00, 95.4MB/s]
2025-07-28 23:11:09,922 |   ERROR | root | nl_test_0.tar:  93%|#########2| 357M/384M [00:03<00:00, 95.3MB/s]
2025-07-28 23:11:10,029 |   ERROR | root | nl_test_0.tar:  96%|#########5| 367M/384M [00:03<00:00, 96.0MB/s]
2025-07-28 23:11:10,138 |   ERROR | root | nl_test_0.tar:  98%|#########8| 377M/384M [00:04<00:00, 95.9MB/s]
2025-07-28 23:11:10,206 |   ERROR | root | nl_test_0.tar: 100%|##########| 384M/384M [00:04<00:00, 94.0MB/s]
2025-07-28 23:11:10,438 |   ERROR | root | nl_other_0.tar:   0%|          | 0.00/83.8M [00:00<?, ?B/s]
2025-07-28 23:11:10,577 |   ERROR | root | nl_other_0.tar:  13%|#2        | 10.5M/83.8M [00:00<00:00, 75.6MB/s]
2025-07-28 23:11:10,704 |   ERROR | root | nl_other_0.tar:  25%|##5       | 21.0M/83.8M [00:00<00:00, 79.7MB/s]
2025-07-28 23:11:10,812 |   ERROR | root | nl_other_0.tar:  38%|###7      | 31.5M/83.8M [00:00<00:00, 86.8MB/s]
2025-07-28 23:11:10,929 |   ERROR | root | nl_other_0.tar:  50%|#####     | 41.9M/83.8M [00:00<00:00, 87.9MB/s]
2025-07-28 23:11:11,037 |   ERROR | root | nl_other_0.tar:  63%|######2   | 52.4M/83.8M [00:00<00:00, 90.8MB/s]
2025-07-28 23:11:11,144 |   ERROR | root | nl_other_0.tar:  75%|#######5  | 62.9M/83.8M [00:00<00:00, 93.1MB/s]
2025-07-28 23:11:11,251 |   ERROR | root | nl_other_0.tar:  88%|########7 | 73.4M/83.8M [00:00<00:00, 94.6MB/s]
2025-07-28 23:11:11,359 |   ERROR | root | nl_other_0.tar: 100%|##########| 83.8M/83.8M [00:00<00:00, 95.3MB/s]
